Latidud_ocio;Longitud_ocio
40.565646800000;-3.913977500000
40.055614000000;-3.604527400000
40.424491600000;-3.691445800000
40.420115300000;-3.700814800000
40.453986300000;-3.694140200000
40.437887693083;-3.700826168060
40.423358100000;-3.699338000000
40.422916000000;-3.703339500000
40.416163300000;-3.695448900000
40.421582400000;-3.688928600000
40.461347600000;-3.766332700000
40.448151900000;-3.695981400000
40.425360400000;-3.691774400000
40.411396300000;-3.714041100000
40.413687000000;-3.699630000000
40.415105600000;-3.705021000000
40.436191600000;-3.716261000000
40.425982915616;-3.698084950447
40.413258600000;-3.699071900000
40.421911000000;-3.705841200000
40.446187900000;-3.686556500000
40.421403986570;-3.708128482103
40.438697100000;-3.700979600000
40.420534400000;-3.705843500000
40.412113500000;-3.711784400000
40.462761000000;-3.692955000000
40.422639500000;-3.704583800000
40.437770300000;-3.699213700000
40.421960000000;-3.690007800000
40.418086748305;-3.680098056793
40.421604500000;-3.703456600000
40.429232700000;-3.698499700000
40.379378658363;-3.622418493033
40.410621900000;-3.704693400000
40.419610104870;-3.699635267258
40.418713656590;-3.708349764347
40.442218500218;-3.698923140764
40.422778208491;-3.711534887552
40.418854556997;-3.692312836647
40.422464000000;-3.700566000000
40.431120900000;-3.697274500000
40.456762500000;-3.675555200000
40.412873700000;-3.697144100000
40.416100500000;-3.707478900000
40.403537568270;-3.707258105278
40.413267164670;-3.700600907145
40.413361264672;-3.700584769249
40.426495400000;-3.710611000000
40.402115974946;-3.753644227982
40.424040099288;-3.683914840221
40.410420800000;-3.702613800000
40.472086814455;-3.682419142970
40.422726500000;-3.703818900000
40.440549697608;-3.671225309372
40.425301200000;-3.682990600000
40.426764926738;-3.707781136036
40.422584226415;-3.709922879934
40.407359000000;-3.696364800000
40.421011900000;-3.714833800000
40.429615300000;-3.701611300000
40.423237700000;-3.707365700000
40.451460800000;-3.694816800000
40.417539400000;-3.706879500000
40.432766300000;-3.678741300000
40.412347800000;-3.703341900000
40.422198100000;-3.697122000000
40.425719500000;-3.695814100000
40.424369600000;-3.712326200000
40.409326600000;-3.711608600000
40.409190964141;-3.711391389370
40.408839683147;-3.711705207825
40.421363700000;-3.704813200000
40.427383587058;-3.692291378975
40.425191400000;-3.702657700000
40.414466085514;-3.700388967991
40.410102700000;-3.706196300000
40.436813879215;-3.708314895630
40.408071500000;-3.701973500000
40.432220000000;-3.698048900000
40.414921486977;-3.699525296688
40.386762488518;-3.702768087387
40.461491000000;-3.688036900000
40.387888175690;-3.672274053097
40.427316208487;-3.698841333389
40.406518000000;-3.719770700000
40.421012000000;-3.699498400000
40.405825126686;-3.652310371399
40.416959523924;-3.723249435425
40.425779400000;-3.711512800000
40.435464300000;-3.711532500000
40.423820597330;-3.702242374420
40.422639500000;-3.704583800000
40.422658100000;-3.701735500000
40.424138000000;-3.706506100000
40.460890953370;-3.685601949692
40.424766500000;-3.700638800000
40.417594600000;-3.707599700000
